from,to,relation
Araneae_msp2,Araneae_msp3,undefined
Araneae_msp2,Araneae_msp5,undefined
Araneae_msp2,Araneae_msp6,undefined
Araneae_msp2,Araneae_msp7,undefined
Araneae_msp2,Blattidae_msp1,undefined
Araneae_msp2,Blattidae_msp3,undefined
Araneae_msp2,Camponotus_atriceps_major,undefined
Araneae_msp2,Camponotus_atriceps_minor,undefined
Araneae_msp2,Cosmopolites_sordidus,undefined
Araneae_msp2,Cosmopolites_sordidus_egg,undefined
Araneae_msp2,Metamasius_larva,undefined
Araneae_msp2,Nylanderia_msp1,undefined
Araneae_msp2,Odontomachus_bauri,undefined
Araneae_msp2,Opiliones_msp1,undefined
Araneae_msp2,Pheidole_radoszkowskii_major,undefined
Araneae_msp2,Pheidole_radoszkowskii_minor,undefined
Araneae_msp2,Solenopsis_geminata_minor,undefined
Araneae_msp2,Stylommatophora_msp1,undefined
Araneae_msp2,Stylommatophora_msp2,undefined
Araneae_msp3,Araneae_msp5,undefined
Araneae_msp3,Araneae_msp6,undefined
Araneae_msp3,Araneae_msp7,undefined
Araneae_msp3,Blattidae_msp1,undefined
Araneae_msp3,Blattidae_msp3,undefined
Araneae_msp3,Camponotus_atriceps_major,undefined
Araneae_msp3,Camponotus_atriceps_minor,undefined
Araneae_msp3,Cosmopolites_sordidus,undefined
Araneae_msp3,Cosmopolites_sordidus_egg,undefined
Araneae_msp3,Metamasius_larva,undefined
Araneae_msp3,Nylanderia_msp1,undefined
Araneae_msp3,Odontomachus_bauri,undefined
Araneae_msp3,Opiliones_msp1,undefined
Araneae_msp3,Pheidole_radoszkowskii_major,undefined
Araneae_msp3,Pheidole_radoszkowskii_minor,undefined
Araneae_msp3,Solenopsis_geminata_minor,undefined
Araneae_msp3,Stylommatophora_msp1,undefined
Araneae_msp3,Stylommatophora_msp2,undefined
Araneae_msp5,Araneae_msp6,undefined
Araneae_msp5,Araneae_msp7,undefined
Araneae_msp5,Blattidae_msp1,undefined
Araneae_msp5,Blattidae_msp3,undefined
Araneae_msp5,Camponotus_atriceps_major,undefined
Araneae_msp5,Camponotus_atriceps_minor,undefined
Araneae_msp5,Cosmopolites_sordidus,undefined
Araneae_msp5,Cosmopolites_sordidus_egg,undefined
Araneae_msp5,Metamasius_larva,undefined
Araneae_msp5,Nylanderia_msp1,undefined
Araneae_msp5,Odontomachus_bauri,undefined
Araneae_msp5,Opiliones_msp1,undefined
Araneae_msp5,Pheidole_radoszkowskii_major,undefined
Araneae_msp5,Pheidole_radoszkowskii_minor,undefined
Araneae_msp5,Solenopsis_geminata_minor,undefined
Araneae_msp5,Stylommatophora_msp1,undefined
Araneae_msp5,Stylommatophora_msp2,undefined
Araneae_msp6,Araneae_msp7,undefined
Araneae_msp6,Blattidae_msp1,undefined
Araneae_msp6,Blattidae_msp3,undefined
Araneae_msp6,Camponotus_atriceps_major,undefined
Araneae_msp6,Camponotus_atriceps_minor,undefined
Araneae_msp6,Cosmopolites_sordidus,undefined
Araneae_msp6,Cosmopolites_sordidus_egg,undefined
Araneae_msp6,Metamasius_larva,undefined
Araneae_msp6,Nylanderia_msp1,undefined
Araneae_msp6,Odontomachus_bauri,undefined
Araneae_msp6,Opiliones_msp1,undefined
Araneae_msp6,Pheidole_radoszkowskii_major,undefined
Araneae_msp6,Pheidole_radoszkowskii_minor,undefined
Araneae_msp6,Solenopsis_geminata_minor,undefined
Araneae_msp6,Stylommatophora_msp1,undefined
Araneae_msp6,Stylommatophora_msp2,undefined
Araneae_msp7,Blattidae_msp1,undefined
Araneae_msp7,Blattidae_msp3,undefined
Araneae_msp7,Camponotus_atriceps_major,undefined
Araneae_msp7,Camponotus_atriceps_minor,undefined
Araneae_msp7,Cosmopolites_sordidus,undefined
Araneae_msp7,Cosmopolites_sordidus_egg,undefined
Araneae_msp7,Metamasius_larva,undefined
Araneae_msp7,Nylanderia_msp1,undefined
Araneae_msp7,Odontomachus_bauri,undefined
Araneae_msp7,Opiliones_msp1,undefined
Araneae_msp7,Pheidole_radoszkowskii_major,undefined
Araneae_msp7,Pheidole_radoszkowskii_minor,undefined
Araneae_msp7,Solenopsis_geminata_minor,undefined
Araneae_msp7,Stylommatophora_msp1,undefined
Araneae_msp7,Stylommatophora_msp2,undefined
Blattidae_msp1,Blattidae_msp3,competition
Blattidae_msp1,Camponotus_atriceps_major,competition
Blattidae_msp1,Camponotus_atriceps_minor,competition
Blattidae_msp1,Cosmopolites_sordidus,scavenging
Blattidae_msp1,Cosmopolites_sordidus_egg,predation
Blattidae_msp1,Metamasius_larva,predation
Blattidae_msp1,Nylanderia_msp1,competition
Blattidae_msp1,Odontomachus_bauri,competition
Blattidae_msp1,Opiliones_msp1,undefined
Blattidae_msp1,Pheidole_radoszkowskii_major,competition
Blattidae_msp1,Pheidole_radoszkowskii_minor,competition
Blattidae_msp1,Solenopsis_geminata_minor,competition
Blattidae_msp1,Stylommatophora_msp1,undefined
Blattidae_msp1,Stylommatophora_msp2,undefined
Blattidae_msp3,Camponotus_atriceps_major,competition
Blattidae_msp3,Camponotus_atriceps_minor,competition
Blattidae_msp3,Cosmopolites_sordidus,scavenging
Blattidae_msp3,Cosmopolites_sordidus_egg,predation
Blattidae_msp3,Metamasius_larva,predation
Blattidae_msp3,Nylanderia_msp1,competition
Blattidae_msp3,Odontomachus_bauri,competition
Blattidae_msp3,Opiliones_msp1,undefined
Blattidae_msp3,Pheidole_radoszkowskii_major,competition
Blattidae_msp3,Pheidole_radoszkowskii_minor,competition
Blattidae_msp3,Solenopsis_geminata_minor,competition
Blattidae_msp3,Stylommatophora_msp1,undefined
Blattidae_msp3,Stylommatophora_msp2,undefined
Camponotus_atriceps_major,Camponotus_atriceps_minor,cooperation
Camponotus_atriceps_major,Cosmopolites_sordidus,scavenging
Camponotus_atriceps_major,Cosmopolites_sordidus_egg,predation
Camponotus_atriceps_major,Metamasius_larva,predation
Camponotus_atriceps_major,Nylanderia_msp1,competition
Camponotus_atriceps_major,Odontomachus_bauri,competition
Camponotus_atriceps_major,Opiliones_msp1,undefined
Camponotus_atriceps_major,Pheidole_radoszkowskii_major,competition
Camponotus_atriceps_major,Pheidole_radoszkowskii_minor,competition
Camponotus_atriceps_major,Solenopsis_geminata_minor,competition
Camponotus_atriceps_major,Stylommatophora_msp1,undefined
Camponotus_atriceps_major,Stylommatophora_msp2,undefined
Camponotus_atriceps_minor,Cosmopolites_sordidus,scavenging
Camponotus_atriceps_minor,Cosmopolites_sordidus_egg,predation
Camponotus_atriceps_minor,Metamasius_larva,predation
